no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;persentase_tingkat_pengangguran_terbuka;persentase;satuan;tahun
60;32;JAWA BARAT;3209;KABUPATEN CIREBON;1297;12,97;PERSEN;2010
61;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;582;5,82;PERSEN;2010
62;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;79;0,79;PERSEN;2010
63;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1129;11,29;PERSEN;2010
64;32;JAWA BARAT;3213;KABUPATEN SUBANG;872;8,72;PERSEN;2010
65;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;954;9,54;PERSEN;2010
66;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1488;14,88;PERSEN;2010
67;32;JAWA BARAT;3216;KABUPATEN BEKASI;903;9,03;PERSEN;2010
68;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1331;13,31;PERSEN;2010
69;32;JAWA BARAT;3271;KOTA BOGOR;172;1,72;PERSEN;2010
70;32;JAWA BARAT;3272;KOTA SUKABUMI;1565;15,65;PERSEN;2010
71;32;JAWA BARAT;3273;KOTA BANDUNG;1217;12,17;PERSEN;2010
72;32;JAWA BARAT;3274;KOTA CIREBON;1167;11,67;PERSEN;2010
73;32;JAWA BARAT;3275;KOTA BEKASI;1211;12,11;PERSEN;2010
74;32;JAWA BARAT;3276;KOTA DEPOK;834;8,34;PERSEN;2010
75;32;JAWA BARAT;3277;KOTA CIMAHI;1359;13,59;PERSEN;2010
76;32;JAWA BARAT;3278;KOTA TASIKMALAYA;816;8,16;PERSEN;2010
77;32;JAWA BARAT;3279;KOTA BANJAR;587;5,87;PERSEN;2010
78;32;JAWA BARAT;3201;KABUPATEN BOGOR;1073;10,73;PERSEN;2011
79;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;947;9,47;PERSEN;2011
80;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1015;10,15;PERSEN;2011
81;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1042;10,42;PERSEN;2011
82;32;JAWA BARAT;3205;KABUPATEN GARUT;89;0,89;PERSEN;2011
83;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;829;8,29;PERSEN;2011
84;32;JAWA BARAT;3207;KABUPATEN CIAMIS;886;8,86;PERSEN;2011
85;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;901;9,01;PERSEN;2011
86;32;JAWA BARAT;3209;KABUPATEN CIREBON;1018;10,18;PERSEN;2011
87;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;78;0,78;PERSEN;2011
88;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;804;8,04;PERSEN;2011
89;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1011;10,11;PERSEN;2011
90;32;JAWA BARAT;3213;KABUPATEN SUBANG;91;0,91;PERSEN;2011
91;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;948;9,48;PERSEN;2011
92;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1006;10,06;PERSEN;2011
93;32;JAWA BARAT;3216;KABUPATEN BEKASI;1027;10,27;PERSEN;2011
94;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;938;9,38;PERSEN;2011
95;32;JAWA BARAT;3271;KOTA BOGOR;1031;10,31;PERSEN;2011
96;32;JAWA BARAT;3272;KOTA SUKABUMI;101;1,01;PERSEN;2011
97;32;JAWA BARAT;3273;KOTA BANDUNG;1034;10,34;PERSEN;2011
98;32;JAWA BARAT;3274;KOTA CIREBON;1056;10,56;PERSEN;2011
99;32;JAWA BARAT;3275;KOTA BEKASI;1051;10,51;PERSEN;2011
100;32;JAWA BARAT;3276;KOTA DEPOK;106;1,06;PERSEN;2011
101;32;JAWA BARAT;3277;KOTA CIMAHI;1032;10,32;PERSEN;2011
102;32;JAWA BARAT;3278;KOTA TASIKMALAYA;914;9,14;PERSEN;2011
103;32;JAWA BARAT;3279;KOTA BANJAR;718;7,18;PERSEN;2011
104;32;JAWA BARAT;3201;KABUPATEN BOGOR;907;9,07;PERSEN;2012
105;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;974;9,74;PERSEN;2012
106;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1126;11,26;PERSEN;2012
107;32;JAWA BARAT;3204;KABUPATEN BANDUNG;116;1,16;PERSEN;2012
108;32;JAWA BARAT;3205;KABUPATEN GARUT;638;6,38;PERSEN;2012
109;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;49;0,49;PERSEN;2012
110;32;JAWA BARAT;3207;KABUPATEN CIAMIS;528;5,28;PERSEN;2012
111;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;709;7,09;PERSEN;2012
112;32;JAWA BARAT;3209;KABUPATEN CIREBON;1604;16,04;PERSEN;2012
113;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;671;6,71;PERSEN;2012
114;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;742;7,42;PERSEN;2012
115;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;775;7,75;PERSEN;2012
116;32;JAWA BARAT;3213;KABUPATEN SUBANG;801;8,01;PERSEN;2012
117;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;926;9,26;PERSEN;2012
118;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1125;11,25;PERSEN;2012
119;32;JAWA BARAT;3216;KABUPATEN BEKASI;778;7,78;PERSEN;2012
120;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1009;10,09;PERSEN;2012
121;32;JAWA BARAT;3271;KOTA BOGOR;933;9,33;PERSEN;2012
122;32;JAWA BARAT;3272;KOTA SUKABUMI;1163;11,63;PERSEN;2012
123;32;JAWA BARAT;3273;KOTA BANDUNG;917;9,17;PERSEN;2012
124;32;JAWA BARAT;3274;KOTA CIREBON;125;1,25;PERSEN;2012
125;32;JAWA BARAT;3275;KOTA BEKASI;875;8,75;PERSEN;2012
126;32;JAWA BARAT;3276;KOTA DEPOK;942;9,42;PERSEN;2012
127;32;JAWA BARAT;3277;KOTA CIMAHI;857;8,57;PERSEN;2012
128;32;JAWA BARAT;3278;KOTA TASIKMALAYA;703;7,03;PERSEN;2012
129;32;JAWA BARAT;3279;KOTA BANJAR;62;0,62;PERSEN;2012
130;32;JAWA BARAT;3201;KABUPATEN BOGOR;787;7,87;PERSEN;2013
131;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1038;10,38;PERSEN;2013
132;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1418;14,18;PERSEN;2013
133;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1012;10,12;PERSEN;2013
134;32;JAWA BARAT;3205;KABUPATEN GARUT;814;8,14;PERSEN;2013
135;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;64;0,64;PERSEN;2013
136;32;JAWA BARAT;3207;KABUPATEN CIAMIS;585;5,85;PERSEN;2013
137;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;822;8,22;PERSEN;2013
138;32;JAWA BARAT;3209;KABUPATEN CIREBON;1488;14,88;PERSEN;2013
139;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;735;7,35;PERSEN;2013
140;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;641;6,41;PERSEN;2013
141;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;963;9,63;PERSEN;2013
142;32;JAWA BARAT;3213;KABUPATEN SUBANG;734;7,34;PERSEN;2013
143;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;945;9,45;PERSEN;2013
144;32;JAWA BARAT;3215;KABUPATEN KARAWANG;98;0,98;PERSEN;2013
145;32;JAWA BARAT;3216;KABUPATEN BEKASI;717;7,17;PERSEN;2013
146;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;954;9,54;PERSEN;2013
147;32;JAWA BARAT;3271;KOTA BOGOR;98;0,98;PERSEN;2013
148;32;JAWA BARAT;3272;KOTA SUKABUMI;1118;11,18;PERSEN;2013
149;32;JAWA BARAT;3273;KOTA BANDUNG;1097;10,97;PERSEN;2013
150;32;JAWA BARAT;3274;KOTA CIREBON;902;9,02;PERSEN;2013
151;32;JAWA BARAT;3275;KOTA BEKASI;95;0,95;PERSEN;2013
152;32;JAWA BARAT;3276;KOTA DEPOK;769;7,69;PERSEN;2013
153;32;JAWA BARAT;3277;KOTA CIMAHI;1143;11,43;PERSEN;2013
154;32;JAWA BARAT;3278;KOTA TASIKMALAYA;652;6,52;PERSEN;2013
155;32;JAWA BARAT;3279;KOTA BANJAR;704;7,04;PERSEN;2013
156;32;JAWA BARAT;3201;KABUPATEN BOGOR;765;7,65;PERSEN;2014
157;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;809;8,09;PERSEN;2014
158;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1487;14,87;PERSEN;2014
159;32;JAWA BARAT;3204;KABUPATEN BANDUNG;848;8,48;PERSEN;2014
160;32;JAWA BARAT;3205;KABUPATEN GARUT;771;7,71;PERSEN;2014
161;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;693;6,93;PERSEN;2014
162;32;JAWA BARAT;3207;KABUPATEN CIAMIS;492;4,92;PERSEN;2014
163;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;688;6,88;PERSEN;2014
164;32;JAWA BARAT;3209;KABUPATEN CIREBON;1332;13,32;PERSEN;2014
165;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;447;4,47;PERSEN;2014
166;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;751;7,51;PERSEN;2014
167;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;801;8,01;PERSEN;2014
168;32;JAWA BARAT;3213;KABUPATEN SUBANG;674;6,74;PERSEN;2014
169;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;783;7,83;PERSEN;2014
170;32;JAWA BARAT;3215;KABUPATEN KARAWANG;111;1,11;PERSEN;2014
171;32;JAWA BARAT;3216;KABUPATEN BEKASI;679;6,79;PERSEN;2014
172;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;815;8,15;PERSEN;2014
173;32;JAWA BARAT;3271;KOTA BOGOR;948;9,48;PERSEN;2014
174;32;JAWA BARAT;3272;KOTA SUKABUMI;1164;11,64;PERSEN;2014
175;32;JAWA BARAT;3273;KOTA BANDUNG;805;8,05;PERSEN;2014
176;32;JAWA BARAT;3274;KOTA CIREBON;1102;11,02;PERSEN;2014
177;32;JAWA BARAT;3275;KOTA BEKASI;936;9,36;PERSEN;2014
178;32;JAWA BARAT;3276;KOTA DEPOK;844;8,44;PERSEN;2014
179;32;JAWA BARAT;3277;KOTA CIMAHI;962;9,62;PERSEN;2014
180;32;JAWA BARAT;3278;KOTA TASIKMALAYA;538;5,38;PERSEN;2014
181;32;JAWA BARAT;3279;KOTA BANJAR;738;7,38;PERSEN;2014
182;32;JAWA BARAT;3201;KABUPATEN BOGOR;1001;10,01;PERSEN;2015
183;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1005;10,05;PERSEN;2015
184;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1006;10,06;PERSEN;2015
185;32;JAWA BARAT;3204;KABUPATEN BANDUNG;403;4,03;PERSEN;2015
186;32;JAWA BARAT;3205;KABUPATEN GARUT;65;0,65;PERSEN;2015
187;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;851;8,51;PERSEN;2015
188;32;JAWA BARAT;3207;KABUPATEN CIAMIS;699;6,99;PERSEN;2015
189;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;749;7,49;PERSEN;2015
190;32;JAWA BARAT;3209;KABUPATEN CIREBON;1051;10,51;PERSEN;2015
191;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;401;4,01;PERSEN;2015
192;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;90;0,9;PERSEN;2015
193;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;851;8,51;PERSEN;2015
194;32;JAWA BARAT;3213;KABUPATEN SUBANG;1004;10,04;PERSEN;2015
195;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;100;1;PERSEN;2015
196;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1151;11,51;PERSEN;2015
197;32;JAWA BARAT;3216;KABUPATEN BEKASI;1003;10,03;PERSEN;2015
198;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1001;10,01;PERSEN;2015
199;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;481;4,81;PERSEN;2015
200;32;JAWA BARAT;3271;KOTA BOGOR;1108;11,08;PERSEN;2015
201;32;JAWA BARAT;3272;KOTA SUKABUMI;906;9,06;PERSEN;2015
202;32;JAWA BARAT;3273;KOTA BANDUNG;902;9,02;PERSEN;2015
203;32;JAWA BARAT;3274;KOTA CIREBON;1128;11,28;PERSEN;2015
204;32;JAWA BARAT;3275;KOTA BEKASI;936;9,36;PERSEN;2015
205;32;JAWA BARAT;3276;KOTA DEPOK;748;7,48;PERSEN;2015
206;32;JAWA BARAT;3277;KOTA CIMAHI;90;0,9;PERSEN;2015
207;32;JAWA BARAT;3278;KOTA TASIKMALAYA;546;5,46;PERSEN;2015
208;32;JAWA BARAT;3279;KOTA BANJAR;738;7,38;PERSEN;2015
209;32;JAWA BARAT;3201;KABUPATEN BOGOR;955;9,55;PERSEN;2017
210;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;766;7,66;PERSEN;2017
211;32;JAWA BARAT;3203;KABUPATEN CIANJUR;101;1,01;PERSEN;2017
212;32;JAWA BARAT;3204;KABUPATEN BANDUNG;392;3,92;PERSEN;2017
213;32;JAWA BARAT;3205;KABUPATEN GARUT;786;7,86;PERSEN;2017
214;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;661;6,61;PERSEN;2017
215;32;JAWA BARAT;3207;KABUPATEN CIAMIS;517;5,17;PERSEN;2017
216;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;794;7,94;PERSEN;2017
217;32;JAWA BARAT;3209;KABUPATEN CIREBON;961;9,61;PERSEN;2017
218;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;502;5,02;PERSEN;2017
219;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;715;7,15;PERSEN;2017
220;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;864;8,64;PERSEN;2017
221;32;JAWA BARAT;3213;KABUPATEN SUBANG;874;8,74;PERSEN;2017
222;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;911;9,11;PERSEN;2017
223;32;JAWA BARAT;3215;KABUPATEN KARAWANG;955;9,55;PERSEN;2017
224;32;JAWA BARAT;3216;KABUPATEN BEKASI;1097;10,97;PERSEN;2017
225;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;933;9,33;PERSEN;2017
226;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;334;3,34;PERSEN;2017
227;32;JAWA BARAT;3271;KOTA BOGOR;957;9,57;PERSEN;2017
228;32;JAWA BARAT;3272;KOTA SUKABUMI;80;0,8;PERSEN;2017
229;32;JAWA BARAT;3273;KOTA BANDUNG;844;8,44;PERSEN;2017
230;32;JAWA BARAT;3274;KOTA CIREBON;929;9,29;PERSEN;2017
231;32;JAWA BARAT;3275;KOTA BEKASI;932;9,32;PERSEN;2017
232;32;JAWA BARAT;3276;KOTA DEPOK;70;0,7;PERSEN;2017
233;32;JAWA BARAT;3277;KOTA CIMAHI;843;8,43;PERSEN;2017
234;32;JAWA BARAT;3278;KOTA TASIKMALAYA;689;6,89;PERSEN;2017
235;32;JAWA BARAT;3279;KOTA BANJAR;597;5,97;PERSEN;2017
236;32;JAWA BARAT;3201;KABUPATEN BOGOR;975;9,75;PERSEN;2018
237;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;777;7,77;PERSEN;2018
238;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1016;10,16;PERSEN;2018
239;32;JAWA BARAT;3204;KABUPATEN BANDUNG;50;0,5;PERSEN;2018
240;32;JAWA BARAT;3205;KABUPATEN GARUT;707;7,07;PERSEN;2018
241;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;683;6,83;PERSEN;2018
242;32;JAWA BARAT;3207;KABUPATEN CIAMIS;46;0,46;PERSEN;2018
243;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;899;8,99;PERSEN;2018
244;32;JAWA BARAT;3209;KABUPATEN CIREBON;1056;10,56;PERSEN;2018
245;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;495;4,95;PERSEN;2018
246;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;752;7,52;PERSEN;2018
247;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;836;8,36;PERSEN;2018
248;32;JAWA BARAT;3213;KABUPATEN SUBANG;865;8,65;PERSEN;2018
249;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;989;9,89;PERSEN;2018
250;32;JAWA BARAT;3215;KABUPATEN KARAWANG;905;9,05;PERSEN;2018
251;32;JAWA BARAT;3216;KABUPATEN BEKASI;969;9,69;PERSEN;2018
252;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;85;0,85;PERSEN;2018
253;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;358;3,58;PERSEN;2018
254;32;JAWA BARAT;3271;KOTA BOGOR;965;9,65;PERSEN;2018
255;32;JAWA BARAT;3272;KOTA SUKABUMI;848;8,48;PERSEN;2018
256;32;JAWA BARAT;3273;KOTA BANDUNG;801;8,01;PERSEN;2018
257;32;JAWA BARAT;3274;KOTA CIREBON;906;9,06;PERSEN;2018
258;32;JAWA BARAT;3275;KOTA BEKASI;907;9,07;PERSEN;2018
259;32;JAWA BARAT;3276;KOTA DEPOK;664;6,64;PERSEN;2018
260;32;JAWA BARAT;3277;KOTA CIMAHI;793;7,93;PERSEN;2018
261;32;JAWA BARAT;3278;KOTA TASIKMALAYA;685;6,85;PERSEN;2018
262;32;JAWA BARAT;3279;KOTA BANJAR;589;5,89;PERSEN;2018
263;32;JAWA BARAT;3201;KABUPATEN BOGOR;906;9,06;PERSEN;2019
264;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;799;7,99;PERSEN;2019
265;32;JAWA BARAT;3203;KABUPATEN CIANJUR;972;9,72;PERSEN;2019
266;32;JAWA BARAT;3204;KABUPATEN BANDUNG;548;5,48;PERSEN;2019
267;32;JAWA BARAT;3205;KABUPATEN GARUT;728;7,28;PERSEN;2019
268;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;625;6,25;PERSEN;2019
269;32;JAWA BARAT;3207;KABUPATEN CIAMIS;51;0,51;PERSEN;2019
270;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;961;9,61;PERSEN;2019
271;32;JAWA BARAT;3209;KABUPATEN CIREBON;1028;10,28;PERSEN;2019
272;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;437;4,37;PERSEN;2019
273;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;763;7,63;PERSEN;2019
274;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;828;8,28;PERSEN;2019
275;32;JAWA BARAT;3213;KABUPATEN SUBANG;859;8,59;PERSEN;2019
276;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;965;9,65;PERSEN;2019
277;32;JAWA BARAT;3215;KABUPATEN KARAWANG;961;9,61;PERSEN;2019
278;32;JAWA BARAT;3216;KABUPATEN BEKASI;894;8,94;PERSEN;2019
279;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;817;8,17;PERSEN;2019
280;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;448;4,48;PERSEN;2019
281;32;JAWA BARAT;3271;KOTA BOGOR;91;0,91;PERSEN;2019
282;32;JAWA BARAT;3272;KOTA SUKABUMI;844;8,44;PERSEN;2019
283;32;JAWA BARAT;3273;KOTA BANDUNG;816;8,16;PERSEN;2019
284;32;JAWA BARAT;3274;KOTA CIREBON;898;8,98;PERSEN;2019
285;32;JAWA BARAT;3275;KOTA BEKASI;823;8,23;PERSEN;2019
286;32;JAWA BARAT;3276;KOTA DEPOK;611;6,11;PERSEN;2019
287;32;JAWA BARAT;3277;KOTA CIMAHI;808;8,08;PERSEN;2019
288;32;JAWA BARAT;3278;KOTA TASIKMALAYA;675;6,75;PERSEN;2019
289;32;JAWA BARAT;3279;KOTA BANJAR;61;0,61;PERSEN;2019
290;32;JAWA BARAT;3201;KABUPATEN BOGOR;1429;14,29;PERSEN;2020
291;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;96;0,96;PERSEN;2020
292;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1105;11,05;PERSEN;2020
293;32;JAWA BARAT;3204;KABUPATEN BANDUNG;858;8,58;PERSEN;2020
294;32;JAWA BARAT;3205;KABUPATEN GARUT;896;8,96;PERSEN;2020
295;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;712;7,12;PERSEN;2020
296;32;JAWA BARAT;3207;KABUPATEN CIAMIS;566;5,66;PERSEN;2020
297;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1122;11,22;PERSEN;2020
298;32;JAWA BARAT;3209;KABUPATEN CIREBON;1152;11,52;PERSEN;2020
299;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;584;5,84;PERSEN;2020
300;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;989;9,89;PERSEN;2020
301;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;921;9,21;PERSEN;2020
302;32;JAWA BARAT;3213;KABUPATEN SUBANG;948;9,48;PERSEN;2020
303;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1107;11,07;PERSEN;2020
304;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1152;11,52;PERSEN;2020
305;32;JAWA BARAT;3216;KABUPATEN BEKASI;1154;11,54;PERSEN;2020
306;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1225;12,25;PERSEN;2020
307;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;508;5,08;PERSEN;2020
308;32;JAWA BARAT;3271;KOTA BOGOR;1268;12,68;PERSEN;2020
309;32;JAWA BARAT;3272;KOTA SUKABUMI;1217;12,17;PERSEN;2020
